tv_symbol,screener_slug,bse_code,isin,name
NSE:20MICRONS,20MICRONS,,INE144J01027,20 Microns Limited
NSE:21STCENMGM,21STCENMGM,,INE253B01015,21st Century Management Services Limited
NSE:360ONE,360ONE,,INE466L01038,360 ONE WAM LIMITED
NSE:3BBLACKBIO,3BBLACKBIO,,INE994E01018,3B Blackbio Dx Limited
NSE:3IINFOLTD,3IINFOLTD,,INE748C01038,3i Infotech Limited
NSE:3MINDIA,3MINDIA,,INE470A01017,3M India Limited
NSE:3PLAND,3PLAND,,INE105C01023,3P Land Holdings Limited
NSE:5PAISA,5PAISA,,INE618L01018,5Paisa Capital Limited
NSE:63MOONS,63MOONS,,INE111B01023,63 moons technologies limited
NSE:A2ZINFRA,A2ZINFRA,,INE619I01012,A2Z Infra Engineering Limited
NSE:AAATECH,AAATECH,,INE0D0U01013,AAA Technologies Limited
NSE:AADHARHFC,AADHARHFC,,INE883F01010,Aadhar Housing Finance Limited
NSE:AAKASH,AAKASH,,INE087Z01024,Aakash Exploration Services Limited
NSE:AAREYDRUGS,AAREYDRUGS,,INE198H01019,Aarey Drugs & Pharmaceuticals Limited
NSE:AARNAV,AARNAV,,INE750R01016,Aarnav Fashions Limited
NSE:AARON,AARON,,INE721Z01010,Aaron Industries Limited
NSE:AARTECH,AARTECH,,INE01C001026,Aartech Solonics Limited
NSE:AARTIDRUGS,AARTIDRUGS,,INE767A01016,Aarti Drugs Limited
NSE:AARTIIND,AARTIIND,,INE769A01020,Aarti Industries Limited
NSE:AARTIPHARM,AARTIPHARM,,INE0LRU01027,Aarti Pharmalabs Limited
NSE:AARTISURF,AARTISURF,,INE09EO01013,Aarti Surfactants Limited
NSE:AARVI,AARVI,,INE754X01016,Aarvi Encon Limited
NSE:AAVAS,AAVAS,,INE216P01012,Aavas Financiers Limited
NSE:ABAN,ABAN,,INE421A01028,Aban Offshore Limited
NSE:ABANSENT,ABANSENT,,INE365O01028,Abans Enterprises Limited
NSE:ABB,ABB,,INE117A01022,ABB India Limited
NSE:ABBOTINDIA,ABBOTINDIA,,INE358A01014,Abbott India Limited
NSE:ABCAPITAL,ABCAPITAL,,INE674K01013,Aditya Birla Capital Limited
NSE:ABCOTS,ABCOTS,,INE08PH01015,A B Cotspin India Limited
NSE:ABDL,ABDL,,INE552Z01027,Allied Blenders and Distillers Limited
NSE:ABFRL,ABFRL,,INE647O01011,Aditya Birla Fashion and Retail Limited
NSE:ABINFRA,ABINFRA,,INE00YB01025,A B Infrabuild Limited
NSE:ABLBL,ABLBL,,INE14LE01019,Aditya Birla Lifestyle Brands Limited
NSE:ABMINTLLTD,ABMINTLLTD,,INE251C01025,ABM International Limited
NSE:ABMKNO,ABMKNO,,INE850B01026,ABM Knowledgeware Limited
NSE:ABREL,ABREL,,INE055A01016,Aditya Birla Real Estate Limited
NSE:ABSLAMC,ABSLAMC,,INE404A01024,Aditya Birla Sun Life AMC Limited
NSE:ACC,ACC,,INE012A01025,ACC Limited
NSE:ACCELYA,ACCELYA,,INE793A01012,Accelya Solutions India Limited
NSE:ACCURACY,ACCURACY,,INE648Z01023,Accuracy Shipping Limited
NSE:ACE,ACE,,INE731H01025,Action Construction Equipment Limited
NSE:ACEINTEG,ACEINTEG,,INE543V01017,Ace Integrated Solutions Limited
NSE:ACI,ACI,,INE128X01021,Archean Chemical Industries Limited
NSE:ACL,ACL,,INE666E01020,Andhra Cements Limited
NSE:ACMESOLAR,ACMESOLAR,,INE622W01025,Acme Solar Holdings Limited
NSE:ACSTECH,ACSTECH,,INE366C01021,ACS Technologies Limited
NSE:ACUTAAS,ACUTAAS,,INE00FF01025,Acutaas Chemicals Limited
NSE:ADANIENSOL,ADANIENSOL,,INE931S01010,Adani Energy Solutions Limited
